title,original_title,year,genre,duration,country,language,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
"Tutti insieme appassionatamente","The Sound of Music",1965,3,172,1,2,8,198561,8200000,159287539,159413574,63,486,137
"Agente 007 - Thunderball: operazione tuono","Thunderball",1965,3,130,1,2,7,103075,9000000,63595658,63595658,64,343,108
"Il buono, il brutto, il cattivo","Il buono, il brutto, il cattivo",1966,1,161,3,1,8.8,672499,1200000,25100000,25252481,90,1117,211
"Chi ha paura di Virginia Woolf?","Who's Afraid of Virginia Woolf?",1966,1,131,1,3,8,67817,7500000,28000000,28005068,75,291,97
"Il laureato","The Graduate",1967,3,106,1,1,8,249910,3000000,104945305,105015008,83,752,184
"Indovina chi viene a cena?","Guess Who's Coming to Dinner",1967,2,108,1,1,7.8,38349,4000000,56666667,56666667,63,384,72
"Impiccalo più in alto","Hang 'Em High",1968,2,114,1,1,7,34306,1600000,11000000,11000000,62,136,44
"Il libro della giungla","The Jungle Book",1967,3,78,1,1,7.6,162375,4000000,141843612,210310084,65,172,131
"Agente 007 - Si vive solo due volte","You Only Live Twice",1967,3,117,1,3,6.9,95485,9500000,43084787,43084787,61,316,111
"2001: Odissea nello spazio","2001: A Space Odyssey",1968,2,149,2,2,8.3,587866,12000000,60541301,68989547,84,2163,267
"Bullitt","Bullitt",1968,3,114,1,1,7.4,59535,5500000,511350,511350,81,382,109
"Funny Girl","Funny Girl",1968,3,151,1,1,7.4,18998,14100000,52223306,52224263,89,98,58
"La notte dei morti viventi","Night of the Living Dead",1968,2,96,1,1,7.9,113263,114000,236452,236452,89,650,226
"La strana coppia","The Odd Couple",1968,1,105,1,1,7.7,30880,1200000,44527234,44527234,86,134,69
"Il pianeta delle scimmie","Planet of the Apes",1968,2,112,1,1,8,162872,5800000,32589624,32599045,79,447,152
"Per favore, non toccate le vecchiette","The Producers",1967,2,88,1,2,7.6,49059,941000,328673,375143,96,264,97
"Butch Cassidy","Butch Cassidy and the Sundance Kid",1969,3,110,1,2,8,199182,6000000,102308889,102310639,66,430,107
"Easy Rider","Easy Rider",1969,2,95,1,4,7.3,97792,360000,123276,123276,85,426,134
"Hello, Dolly!","Hello, Dolly!",1969,3,146,1,1,7.1,13203,25000000,400881,400881,51,126,34
"Un uomo da marciapiede","Midnight Cowboy",1969,1,113,1,2,7.8,98735,3600000,44785053,44801177,79,393,123
"Agente 007 - Al servizio segreto di Sua Maestà","On Her Majesty's Secret Service",1969,3,142,1,3,6.7,78472,7000000,22774493,22787885,61,512,121
"La ballata della città senza nome","Paint Your Wagon",1969,3,164,1,1,6.6,12067,20000000,14500000,14500000,50,128,26
"Gli avvoltoi hanno fame","Two Mules for Sister Sara",1970,3,116,2,4,7,23223,2500000,5050000,5050000,62,79,39
"Dove osano le aquile","Where Eagles Dare",1968,3,158,1,2,7.7,50712,7700000,7100000,7100000,63,275,57
"Il mucchio selvaggio","The Wild Bunch",1969,3,145,1,3,7.9,76081,6244087,638641,638641,97,328,126
"Airport","Airport",1970,3,137,1,2,6.6,17068,10000000,100489151,100489151,42,188,82
"Gli Aristogatti","The AristoCats",1970,3,78,1,1,7.1,91085,4000000,35452658,35459543,66,141,113
"L'altra faccia del pianeta delle scimmie","Beneath the Planet of the Apes",1970,3,95,1,1,6.1,41159,3000000,18999718,18999718,46,182,73
"Il conformista","Il conformista",1970,1,113,3,4,8,26063,750000,58657,400747,100,111,128
"I guerrieri","Kelly's Heroes",1970,3,144,1,3,7.6,44340,4000000,5200000,5200000,50,211,47
"Piccolo grande uomo","Little Big Man",1970,3,139,1,1,7.6,32221,15000000,31559552,31559552,63,126,61
"Love Story","Love Story",1970,2,100,1,1,6.9,29838,2200000,106550690,106550690,84,182,55
"M.A.S.H.","MASH",1970,3,116,1,3,7.4,66451,3500000,81600000,81600000,80,257,128
"Patton, generale d'acciaio","Patton",1970,3,172,1,6,7.9,92387,12000000,61749765,61749765,91,292,126
"L'uomo che fuggì dal futuro","THX 1138",1971,3,86,1,1,6.7,47108,777000,2437000,2437000,75,232,83
"Arancia meccanica","A Clockwork Orange",1971,3,136,2,1,8.3,740301,2200000,26589355,26903440,77,1569,184
"Agente 007 - Una cascata di diamanti","Diamonds Are Forever",1971,3,120,1,2,6.6,93366,7200000,43819547,43819547,59,319,109
"Ispettore Callaghan: il caso 'Scorpio' è tuo!!","Dirty Harry",1971,3,102,1,1,7.7,140624,4000000,35976000,35976000,90,362,142
"Fuga dal pianeta delle scimmie","Escape from the Planet of the Apes",1971,2,98,1,1,6.3,31416,2500000,12348905,12348905,69,117,67
"Il violinista sul tetto","Fiddler on the Roof",1971,3,181,1,3,8,38350,9000000,10404330,10404330,67,170,74
"Il braccio violento della legge","The French Connection",1971,3,104,1,2,7.7,107402,1800000,51700000,51700000,94,328,165
"L'ultimo spettacolo","The Last Picture Show",1971,2,118,1,1,8,41253,1300000,29133000,29146131,93,194,91
"Brivido nella notte","Play Misty for Me",1971,2,102,1,1,7,24992,725000,10600000,10600000,78,177,73
"El Topo","El Topo",1970,2,125,1,1,7.4,24798,1000000,80302,160468,65,129,147
"Punto zero","Vanishing Point",1971,3,99,1,1,7.2,26109,1585000,12442673,12442673,61,181,110
"Willy Wonka e la fabbrica di cioccolato","Willy Wonka & the Chocolate Factory",1971,3,100,5,4,7.8,173962,3000000,526633,527081,67,417,89
"1999: conquista della Terra","Conquest of the Planet of the Apes",1972,2,88,1,1,6.1,29581,1700000,9043472,9043472,49,117,71
"Tutto quello che avreste voluto sapere sul sesso ma non avete mai osato chiedere","Everything You Always Wanted to Know About Sex * But Were Afraid to Ask",1972,1,88,1,2,6.8,37546,2000000,18016290,18090065,66,90,61
"Il padrino","The Godfather",1972,2,175,1,3,9.2,1572674,6000000,134966411,246120974,100,3977,253
"Lo straniero senza nome","High Plains Drifter",1973,3,105,1,1,7.5,48732,5500000,15700000,15706540,69,211,92
"L'avventura del Poseidon","The Poseidon Adventure",1972,3,117,1,2,7.1,40042,5000000,84563118,84563118,70,275,89
"American Graffiti","American Graffiti",1973,2,110,1,1,7.4,80176,777000,115000000,115000000,97,296,122
"Anno 2670 - Ultimo atto","Battle for the Planet of the Apes",1973,2,93,1,1,5.5,28309,1800000,8844595,8844595,40,114,57
"L'esorcista","The Exorcist",1973,1,122,1,7,8,354234,11000000,232906145,441306145,81,1226,209
"Agente 007 - Vivi e lascia morire","Live and Let Die",1973,3,121,1,2,6.8,94566,7000000,35377836,35377836,55,303,111
"Mean Streets - Domenica in chiesa, lunedì all'inferno","Mean Streets",1973,3,112,1,2,7.3,97172,500000,32645,41131,96,287,134
"Papillon","Papillon",1973,3,151,2,2,8,119445,12000000,53267000,53267000,58,214,74
"Serpico","Serpico",1973,3,130,2,3,7.7,106667,3000000,29800000,29829963,87,205,116
"Il dormiglione","Sleeper",1973,2,89,1,2,7.2,39252,2000000,18344729,18344729,77,140,86
"La stangata","The Sting",1973,3,129,1,1,8.3,236285,5500000,156000000,156000000,83,315,129
"Ultimo tango a Parigi","Ultimo tango a Parigi",1972,2,129,2,2,7,48672,1250000,36144000,36179290,77,202,114
"The Wicker Man","The Wicker Man",1973,3,88,1,1,7.5,67560,810000,60891,98201,87,517,171
"Alice non abita più qui","Alice Doesn't Live Here Anymore",1974,2,112,1,1,7.3,20867,1800000,18600000,18600000,78,107,59
"Per amore di Beniamino","Benji",1974,3,86,1,1,6.2,4312,500000,39552000,39552000,35,44,13
"Mezzogiorno e mezzo di fuoco","Blazing Saddles",1974,2,93,1,3,7.7,123476,2600000,119601481,119601481,73,428,101
"Chinatown","Chinatown",1974,3,130,1,3,8.2,286798,6000000,29200000,29225935,92,540,150
"La conversazione","The Conversation",1974,3,113,1,1,7.8,95597,1600000,4420000,4432180,85,386,169
"Il giustiziere della notte","Death Wish",1974,3,93,2,4,7,34751,3000000,22000000,22000000,51,230,108
"Terremoto","Earthquake",1974,3,122,1,1,5.9,13380,7000000,79666653,79666653,56,177,83
"Il padrino - Parte II","The Godfather: Part II",1974,2,202,1,5,9,1098714,13000000,47834595,48035783,90,1030,178
"Il grande Gatsby","The Great Gatsby",1974,2,144,1,1,6.4,23109,6500000,20563273,20563273,43,149,46
"La montagna sacra","La montaña sagrada",1973,3,114,1,2,7.9,35412,750000,61001,104160,76,160,100
"Quella sporca ultima meta","The Longest Yard",1974,3,121,1,1,7.1,16607,2900000,43008075,43008075,61,72,59
"Agente 007 - L'uomo dalla pistola d'oro","The Man with the Golden Gun",1974,3,125,1,3,6.8,93331,7000000,20972000,20972000,43,306,100
"La pantera rosa colpisce ancora","The Return of the Pink Panther",1975,3,113,2,1,7.1,24589,5000000,41833347,41833347,61,95,42
"Sugarland Express","The Sugarland Express",1974,2,110,1,1,6.8,15027,3000000,7500000,7504841,65,75,66
"Non aprite quella porta","The Texas Chain Saw Massacre",1974,1,83,1,1,7.5,132386,300000,30859000,30859000,78,943,256
"Una calibro 20 per lo specialista","Thunderbolt and Lightfoot",1974,3,115,1,1,7.1,21840,2200000,21700000,21700000,62,114,93
"L'inferno di cristallo","The Towering Inferno",1974,3,165,1,1,7,38412,14000000,116000000,116000000,69,232,81
"Frankenstein Junior","Young Frankenstein",1974,1,106,1,2,8,140537,2800000,86273333,86273333,80,368,122
"Quel pomeriggio di un giorno da cani","Dog Day Afternoon",1975,3,125,1,1,8,230684,1800000,50000000,50000000,86,326,88
"Assassinio sull'Eiger","The Eiger Sanction",1975,3,129,1,2,6.4,17167,9000000,14200000,14200000,61,101,52
"Il braccio violento della legge N°2","French Connection II",1975,3,119,1,2,6.8,16341,4340000,12484444,12484444,68,88,59
"Lo squalo","Jaws",1975,2,124,1,1,8,535807,7000000,260758300,471961371,87,1222,309
"Amore e guerra","Love and Death",1975,2,85,1,1,7.7,35239,3000000,20123742,20123742,89,120,64
"Nashville","Nashville",1975,3,160,1,1,7.7,23154,2200000,9984123,9984123,96,177,106
"Qualcuno volò sul nido del cuculo","One Flew Over the Cuckoo's Nest",1975,1,133,1,1,8.7,891071,3000000,108981275,108997629,83,983,175
"The Rocky Horror Picture Show","The Rocky Horror Picture Show",1975,2,100,2,1,7.4,128893,1200000,112892319,113135551,58,553,140
"Shampoo","Shampoo",1975,2,110,1,1,6.3,10778,4000000,49407734,49407734,65,113,63
"I tre giorni del Condor","Three Days of the Condor",1975,2,117,1,2,7.4,46853,20000000,27476252,27476252,63,200,117
"Tommy","Tommy",1975,2,111,1,1,6.6,18881,5000000,34251525,34272986,66,207,62
"Tutti gli uomini del presidente","All the President's Men",1976,3,138,1,2,8,99874,8500000,70600000,70600000,84,246,151
"Carrie - Lo sguardo di Satana","Carrie",1976,1,98,1,1,7.4,164011,1800000,33800000,33800000,85,551,191
"Cielo di piombo, ispettore Callaghan","The Enforcer",1976,3,96,1,1,6.8,40645,9000000,46236000,46236000,58,129,68
"King Kong","King Kong",1976,2,134,1,1,5.9,29113,24000000,52614445,52614445,61,229,102
"Il maratoneta","Marathon Man",1976,2,125,1,5,7.4,56855,6500000,21709020,21709020,64,191,92
"Quinto potere","Network",1976,1,121,1,1,8.1,141905,3800000,23689877,23690757,83,396,175
"Il presagio","The Omen",1976,1,111,2,3,7.5,104815,2800000,60922980,60922980,62,362,190
"Il texano dagli occhi di ghiaccio","The Outlaw Josey Wales",1976,1,135,1,3,7.8,64145,3700000,31800000,31800000,69,226,53
"La pantera rosa sfida l'ispettore Clouseau","The Pink Panther Strikes Again",1976,2,103,2,1,7.2,27349,6000000,33833201,33833201,60,114,38
"Rocky","Rocky",1976,2,120,1,1,8.1,506246,960000,117235147,117235147,70,705,184
"L'ultima follia di Mel Brooks","Silent Movie",1976,1,87,1,1,6.7,15742,4400000,36145695,36145695,75,70,45
"Wagon-lits con omicidi","Silver Streak",1976,3,114,1,1,6.9,17442,6500000,51079064,51079064,41,115,49
"È nata una stella","A Star Is Born",1976,3,139,1,1,6.2,9699,6000000,80000000,80000000,59,98,47
"Taxi Driver","Taxi Driver",1976,2,114,1,2,8.3,703264,1300000,28262574,28441292,94,1178,289
"Io e Annie","Annie Hall",1977,2,93,1,2,8,248254,4000000,38251425,38287178,92,538,150
"Incontri ravvicinati del terzo tipo","Close Encounters of the Third Kind",1977,2,138,1,4,7.6,180386,20000000,135189114,306899494,90,440,230
"Abissi","The Deep",1977,3,123,2,2,6.2,10901,9000000,47346365,47346365,41,74,35
"L'esorcista II - L'eretico","Exorcist II: The Heretic",1977,1,117,1,3,3.8,21361,14000000,30749142,30749142,39,281,123
"L'uomo nel mirino","The Gauntlet",1977,3,109,1,1,6.4,20633,5500000,26414658,26414658,59,116,47
"Gli eroi","Heroes",1977,2,112,1,2,6.1,1604,3200000,33500000,33500000,35,28,18
"Alta tensione","High Anxiety",1977,3,94,1,1,6.7,19418,4015000,31063038,31063038,55,128,59
"Giulia","Julia",1977,1,117,1,4,7.2,8497,7840000,20714400,20714400,58,56,39
"Killer of Sheep","Killer of Sheep",1978,1,80,1,1,7.3,5929,100000,404508,468460,96,40,93
"New York, New York","New York, New York",1977,3,155,1,1,6.7,17883,14000000,16400000,16400000,64,94,71
"Elliott, il drago invisibile","Pete's Dragon",1977,3,128,1,1,6.4,21937,10000000,39588000,39588000,46,99,54
"Le avventure di Bianca e Bernie","The Rescuers",1977,3,78,1,1,6.9,56808,7500000,71215869,71215869,74,99,67
"La febbre del sabato sera","Saturday Night Fever",1977,2,118,1,2,6.8,69620,3000000,94213184,237113184,77,256,103
"Esecuzione al braccio 3","Short Eyes",1977,1,100,1,1,7,1074,300000,3456,3456,53,19,24
"Il bandito e la madama","Smokey and the Bandit",1977,2,96,1,1,7,44183,4300000,126737428,126737428,50,201,84
"La spia che mi amava","The Spy Who Loved Me",1977,3,125,1,3,7.1,96135,14000000,46838673,46838673,55,325,105
"Guerre stellari","Star Wars",1977,3,121,1,1,8.6,1204107,11000000,460998507,775768912,90,1852,192
"Tuta blu","Blue Collar",1978,2,114,1,1,7.5,6953,1700000,6521083,6521083,77,53,59
"The Buddy Holly Story","The Buddy Holly Story",1978,3,114,1,1,7.2,8064,1200000,14363400,14363400,78,66,33
"Tornando a casa","Coming Home",1978,3,127,1,1,7.3,12100,3000000,32653905,32653905,61,82,52
"Convoy - Trincea d'asfalto","Convoy",1978,2,110,1,1,6.4,14811,12000000,22765081,22765081,47,100,80
"La maledizione di Damien","Damien: Omen II",1978,1,107,2,1,6.3,28662,6800000,26518355,26518355,45,165,108
"I giorni del cielo","Days of Heaven",1978,2,94,1,2,7.8,51067,3000000,3446749,3475702,93,221,121
"Assassinio sul Nilo","Death on the Nile",1978,3,140,1,4,7.3,27349,7920000,14560084,14560471,59,138,53
"Il cacciatore","The Deer Hunter",1978,2,183,1,5,8.1,304371,15000000,48979328,49074243,86,1140,139
"La fine... della fine","The End",1978,2,100,1,1,6.2,3510,3000000,44917151,44917151,46,31,19
"Filo da torcere","Every Which Way but Loose",1978,2,114,1,1,6.4,22714,5000000,85196485,85196485,41,96,29
"Occhi di Laura Mars","Eyes of Laura Mars",1978,2,104,1,1,6.2,8680,7000000,20000000,20000000,49,90,84
"Forza 10 da Navarone","Force 10 from Navarone",1978,3,118,1,3,6.4,16362,5000000,7230000,7230000,42,92,42
"Gioco sleale","Foul Play",1978,3,116,1,1,6.8,13398,5000000,44999621,44999621,45,107,34
"Grease - Brillantina","Grease",1978,2,110,1,1,7.2,232940,6000000,190071103,397217505,70,418,109
"Halloween - La notte delle streghe","Halloween",1978,2,91,1,1,7.8,222418,325000,47000000,47000000,87,1438,417
"Collo d'acciaio","Hooper",1978,2,99,1,1,6.4,5865,6000000,78000000,78000000,70,39,34
"1964: Allarme a N.Y. arrivano i Beatles!","I Wanna Hold Your Hand",1978,3,104,1,1,6.9,4282,2700000,1944682,1944682,64,43,41
"Interiors","Interiors",1978,1,92,1,1,7.4,17856,10000000,10432366,10432366,67,119,54
"Terrore dallo spazio profondo","Invasion of the Body Snatchers",1978,2,115,1,2,7.4,50992,3500000,24946533,24946533,75,213,199
"Lo squalo 2","Jaws 2",1978,3,116,1,1,5.8,69533,20000000,81766007,187884007,51,325,109
"Fuga di mezzanotte","Midnight Express",1978,3,121,2,4,7.6,72089,2300000,35000000,35000000,59,298,69
"Animal House","National Lampoon's Animal House",1978,1,109,1,2,7.5,109994,3000000,141600000,141600000,79,304,103
"La vendetta della pantera rosa","Revenge of the Pink Panther",1978,3,99,2,2,6.7,19747,12000000,49579269,49579269,65,72,25
"Sgt. Pepper's Lonely Hearts Club Band","Sgt. Pepper's Lonely Hearts Club Band",1978,3,113,1,1,4.2,5866,18000000,20378470,20378470,27,183,50
"Superman","Superman",1978,3,143,4,1,7.3,156397,55000000,134451603,300451667,80,564,207
"Up in Smoke","Up in Smoke",1978,2,86,1,2,7,35523,2000000,44364244,44364244,57,86,31
"I'm magic","The Wiz",1978,3,134,1,1,5.4,13517,24000000,21049053,21049053,53,160,38
"1941 - Allarme a Hollywood","1941",1979,3,118,1,4,5.8,30826,35000000,31755742,92455742,34,255,75
"Airport '80","The Concorde... Airport '79",1979,3,113,1,3,4.5,5499,14000000,13015688,13015688,39,84,44
"Alien","Alien",1979,2,117,2,1,8.4,768874,11000000,81765459,108110316,89,1448,464
"Amityville Horror","The Amityville Horror",1979,1,117,1,1,6.3,34416,4700000,86432000,86432000,28,304,130
"Apocalypse Now","Apocalypse Now",1979,3,147,1,3,8.4,591251,31500000,83471511,91968688,94,1205,305
"La banda delle frittelle di mele 2","The Apple Dumpling Gang Rides Again",1979,3,88,1,1,6.2,2403,5450000,20931111,20931111,37,12,7
"The Black Hole - Il buco nero","The Black Hole",1979,2,98,1,1,6,22902,20000000,35841901,35841901,52,270,113
"Black Stallion","The Black Stallion",1979,3,118,1,3,7.3,11450,2700000,37799643,37799643,84,103,40
"All American Boys","Breaking Away",1979,3,101,1,3,7.7,21299,2300000,16424918,16424918,91,114,71
"Sindrome cinese","The China Syndrome",1979,2,122,1,1,7.4,26456,6000000,51718367,51718367,81,125,81
"Dracula","Dracula",1979,3,109,1,4,6.5,8869,12164000,20158970,20158970,67,142,82
"Fuga da Alcatraz","Escape from Alcatraz",1979,3,112,1,1,7.6,116958,8000000,43000000,43004381,76,177,76
"Scusi, dov'è il West?","The Frisco Kid",1979,3,119,1,2,6.4,8344,9000000,9346177,9346177,38,61,23
"1855 - La prima grande rapina al treno","The First Great Train Robbery",1978,3,110,1,1,6.9,15438,6000000,13027857,13027857,68,65,36
"Hair","Hair",1979,3,121,2,1,7.6,34338,11000000,15284643,15313606,68,174,60
"Kramer contro Kramer","Kramer vs. Kramer",1979,1,105,1,1,7.8,129690,8000000,106260000,106260000,77,223,95
"Il testamento","The Legacy",1978,1,102,2,1,5.7,2468,2500000,11364985,11364985,31,56,59
"Brian di Nazareth","Life of Brian",1979,1,94,1,2,8.1,359295,4000000,20206622,20738770,77,394,112
"Interceptor","Mad Max",1979,3,88,2,1,6.9,187876,300000,8750000,8771757,73,373,243
"Manhattan","Manhattan",1979,3,96,1,1,7.9,129186,9000000,39946780,40194067,83,272,116
"Meteor","Meteor",1979,3,108,2,2,5,6480,16000000,8400000,8400000,27,103,56
"Moonraker - Operazione spazio","Moonraker",1979,3,126,2,3,6.3,88721,34000000,70308099,210308099,66,352,107
"American Graffiti 2","More American Graffiti",1979,3,110,1,2,5.3,3991,3000000,15014674,15014674,44,60,20
"Il campo di cipolle","The Onion Field",1979,2,122,1,1,6.8,4429,2000000,9890597,9890597,57,45,24
"Fantasmi","Phantasm",1979,2,89,1,1,6.8,31329,300000,11988469,11988469,72,316,228
"Profezia","Prophecy",1979,3,102,1,1,5.5,4315,12000000,18389402,18389402,41,88,68
"Rocky II","Rocky II",1979,2,119,1,2,7.3,187094,7000000,85182160,85182160,61,221,91
"The Rose","The Rose",1979,3,125,1,1,7,7687,8500000,29174648,29174648,67,60,35
"Star Trek","Star Trek: The Motion Picture",1979,3,132,1,2,6.4,79886,35000000,82604699,82604699,48,478,103
"Tess","Tess",1979,2,186,2,1,7.3,14866,12000000,20093330,20101247,82,84,68
"I guerrieri della notte","The Warriors",1979,3,92,1,1,7.6,91839,4000000,22490039,22490039,65,469,146
"Quando chiama uno sconosciuto","When a Stranger Calls",1979,3,97,1,1,6.5,9387,1500000,21411158,21411158,58,135,77
"Dalle 9 alle 5... orario continuato","Nine to Five",1980,1,109,1,2,6.8,26790,10000000,103290500,103300143,58,102,46
